sample	weighted_NSTI
11212.Asen1019	0.1364164161498465
11212.RT2013	0.09726009126553123
11212.ERUB.12M	0.15374893270126172
11212.PVLou	0.1675813417858297
11212.JB18	0.12730622528176444
11212.AC668	0.14016038841515857
11212.Ptr5	0.17376117841817548
11212.RC2138	0.15461451054008277
11212.APF38	0.16144838224948568
11212.PVPam	0.17475458653432385
11212.APF115	0.18501024201327038
11212.JB35	0.14925168329964736
11212.BWC2063	0.16297391100939823
11212.Apalw13	0.1561741705793168
11212.LagEllis1	0.15149202222000155
11212.Apalw14	0.15294746992255642
11212.RC2036	0.17719271424976196
11212.JB32	0.1708844516125062
11212.ERUB.79M	0.1353848712365089
11212.JB8	0.1764208167467527
11212.AsenLink5	0.14107637069805248
11212.AC679	0.14443661633820656
11212.ERUB.98M	0.11898629252856713
11212.RT2021	0.11503818184269052
11212.Gor7	0.12712954166908974
11212.Lc155	0.1961188579155449
11212.AsenLink2	0.20393837748293042
11212.PVQui	0.18938922520651666
11212.Ptr11	0.10583623518519741
11212.JB1	0.1442131983472242
11212.Gor12	0.1496948575500449
11212.RC2068	0.0861532118786578
11212.APF103	0.16053070026719443
11212.Gor9	0.14920712658337323
11212.APF104	0.1798588450861518
11212.JB24	0.07798074638559398
11212.Ahyb1000	0.15301575425758315
11212.AtbelzLink1	0.12070931789804959
11212.ERUB.4M	0.1411667297843532
11212.Ptr16	0.15843229079929813
11212.APF113	0.15988970511936496
11212.PVAbb	0.16899600934120335
11212.JB17	0.11501511556116091
11212.Asen1111	0.17767363581990975
11212.APX19	0.17493523673732486
11212.PTr14	0.16612653900256336
11212.AC691	0.14194153723121367
11212.RC2137	0.1436231653577838
11212.JB34	0.13837652723103225
11212.RC2071	0.15286236758983618
11212.BWC2023	0.13855147332994477
11212.Lc268	0.21029920778690567
11212.Ptr4	0.10448333845050074
11212.Asen1118	0.14154887400430194
11212.JB19	0.14990000094020503
11212.BWC2341	0.14931871372291533
11212.Ptr3	0.14170268582166617
11212.ERUB.108M	0.11773927667034645
11212.Ptr17	0.1604301395778355
11212.AC680	0.13585927408560128
11212.ERUB.33M	0.13758801427329548
11212.RC2098	0.16911087877297892
11212.JB25	0.08929566309217842
11212.Gor8	0.14757701921234317
11212.Apalw20	0.15721145157106148
11212.Asen685	0.19803970800239395
11212.Ptr10	0.1385190125991758
11212.ERUB.76M	0.11190496037916357
11212.AsenLink3	0.18028827357299115
11212.ERUB.13M	0.13991609027611562
11212.Lc336	0.18549039344142101
11212.Gor6	0.159086124651351
11212.Gor1	0.15018825421950965
11212.RC2096	0.1462004414309925
11212.Lc331	0.19692420802545585
11212.AsenLink4	0.18098418419699905
11212.AC683	0.13085118644492402
11212.JB4	0.1508517678017311
11212.ERUB.21M	0.14689740960977976
11212.AtbelzLink3	0.1370543272869079
11212.Lc318	0.18663252592081372
11212.PVRij	0.14917823436659203
11212.JB26	0.13940445946096977
11212.Apalw23	0.19210091890585226
11212.Ptr13	0.1671642291629969
11212.AtbelzLink4	0.16492653029098778
11212.JB3	0.12031433922264949
11212.AC684	0.13330519303396457
11212.Lc259	0.16918440522568545
11212.Gor5	0.16030066587853226
11212.BWC2115	0.12460678705636002
11212.JB28	0.10867402002952618
11212.APX.37	0.15356368398789313
11212.APF108	0.14972832647468928
11212.Gor2	0.16813971986531517
11212.APX21	0.17540884433492465
11212.RT2048	0.1378508385326649
11212.Lc316	0.21057381299957056
11212.RT2050	0.12292041010272056
11212.JB30	0.12363240179053553
11212.APF110	0.16211605562738882
11212.LagEllis4	0.15203494879380572
11212.ERUB.14M	0.1544692928883581
11212.JB13	0.15066404070447834
11212.BWC2061	0.15502206941452185
11212.Ptr9	0.1311787558752528
11212.APAL37	0.18478146031636203
11212.Apalw9	0.1944798214454761
11212.APAL39	0.20796547338237428
11212.RT2135	0.11450553348456134
11212.LagAb2	0.17793849661003924
11212.BWC2342	0.15036864494370067
11212.AC622	0.15506544185214585
11212.JB29	0.14491428428068298
11212.RC2141	0.16100998641247552
11212.APF109	0.2002714366658977
11212.Gor3	0.15922568743754464
11212.Gor4	0.16395476234138542
11212.AC711	0.14164993509110002
11212.BWC2339	0.13260055829136735
11212.AsenLink1	0.18091145863956104
11212.Lc172	0.16852905163809198
11212.AC685	0.13648646444213705
11212.AtbelzLink5	0.15253810774684798
11212.AC673	0.12661474030287698
11212.Gor11	0.18624432322595727
11212.LabEllis3	0.12960683850417454
11212.JB27	0.13194688490634393
11212.PVPet	0.18615538525012348
11212.Ahyb411	0.1155013321666532
11212.AC674	0.13280636365754406
11212.AtbelzLink2	0.15231397290736573
11212.Ptr15	0.09714149293137252
11212.Lc23	0.20616555121440255
11212.BWC2026	0.15292680978433448
11212.Apalw19	0.16289156756044867
11212.Lc301	0.18191213787079216
11212.ERUB.105M	0.1362129686718182
11212.Ptr6	0.09151950830542163
11212.RT2017	0.12994870255197968
11212.Apalw8	0.1961430678174958
11212.APAL38	0.17593783129027118
11212.APAL36	0.19719279590357403
11212.Asen1013	0.08117491306522664
11212.APF116	0.15299938632362742
11212.RT2019	0.12819497681363354
11212.Apalw10	0.19650318362760877
11212.ERUB.20M	0.1436202883943558
11212.AC693	0.14596915549520897
11212.JB12	0.12105691688220685
11212.Ahyb257	0.13733403435972122
11212.JB15	0.1436632201176353
11212.JB31	0.11135142289719627
11212.APX38	0.1619048352014719
