	faith_pd
SRS011271	7.037908132
SRS013216	3.4363455030000005
SRS013234	5.249369484000001
SRS013252	6.825416928
SRS013261	2.811946121000001
SRS011405	5.235575184
SRS011452	4.221898458
SRS013502	6.2260660350000006
SRS013506	5.6815371070000005
SRS017304	6.626927964
SRS011529	7.290472292000001
SRS013638	5.951844637000001
SRS013687	5.586032940000001
SRS013705	7.805557399
SRS013711	7.730536192000001
SRS013723	7.5640194690000015
SRS013825	5.597124506
SRS014271	7.935738981
SRS014287	5.644351372000001
SRS014235	6.180825085000001
SRS014343	4.185117636000001
SRS014613	7.776427032000002
SRS014629	4.262451652000001
SRS014923	8.399807701
SRS015133	9.431493166000001
SRS015174	7.137419069
SRS015190	7.220477465
SRS015395	9.029779323
SRS015425	5.2906402560000005
SRS015450	11.879638008999999
SRS015470	16.829379848
SRS015574	7.040300284000001
SRS015578	5.146295444000001
SRS015663	7.289681883000001
SRS015762	8.499080667000001
SRS015782	6.810870533000001
SRS015854	5.624523610000002
SRS015921	14.170179425999999
SRS015960	5.467570821000001
SRS016002	7.204193276
SRS016018	4.772858974000001
SRS016056	4.370629452
SRS016095	6.291249887000001
SRS016111	3.3405305400000005
SRS044902	2.8747821870000005
SRS016203	5.598159741000001
SRS016225	6.345546529
SRS016267	4.7368638050000005
SRS016319	6.916225989000001
SRS016331	8.359673799
SRS016335	7.027122686
SRS016437	3.5306780480000004
SRS016517	5.3554450560000015
SRS016529	4.824529116000001
SRS016533	4.594484216000001
SRS016541	5.509558643
SRS016553	3.4111425710000005
SRS016559	2.5584232180000006
SRS016600	5.196733314000001
SRS016753	4.1434091770000006
SRS011584	2.862646316000001
SRS011586	6.991574291
SRS016990	4.177204349
SRS016954	4.643695167000001
SRS017076	5.40502213
SRS017080	6.186403629
SRS017088	6.758706398000001
SRS017103	6.193926739
SRS017127	4.806869583000001
SRS017139	6.319673407000001
SRS017191	5.146905097000001
SRS017209	7.101568239000001
SRS017215	5.080967003
SRS017227	7.768934027
SRS017307	5.918328213000001
SRS017497	3.6524195410000004
SRS017521	6.637564922
SRS017533	6.455293537
SRS017537	4.720882950000001
SRS017701	5.926010547000001
SRS017713	5.6950597840000015
SRS017788	8.162824178000001
SRS017821	5.236662642000001
SRS017849	4.627707727000001
SRS017851	3.0050588640000004
SRS018133	4.765630736
SRS018145	5.417524676
SRS018149	4.9549150730000004
SRS018157	7.621875949
SRS018313	4.6860343780000004
SRS018394	6.755511287000001
SRS018427	4.755147177000001
SRS018439	5.798028926000001
SRS018443	5.509401432000001
SRS018501	6.322474405000001
SRS018513	7.5217044820000005
SRS018585	4.268658393000001
SRS018591	6.024419622000001
SRS018739	7.640885083000001
SRS018769	2.5050846280000005
SRS018791	5.599425609000001
SRS018817	5.7775092699999995
SRS019081	11.316569764999999
SRS019087	14.890226528
SRS019245	3.576813339000001
SRS019267	5.144272922000001
SRS019582	7.435237065000001
SRS019685	6.332212749000002
SRS019787	4.533172835
SRS019894	6.198488338000001
SRS019906	6.389580575
SRS019910	6.508282637000001
SRS049959	7.3182619760000005
SRS049389	7.7195133920000005
SRS047219	7.159216436000001
SRS050422	7.725821806000001
SRS042643	13.828550271000001
SRS053335	10.360458177
SRS020233	6.547287921000001
SRS020261	4.159127992
SRS020263	4.553519876
SRS020386	3.966503889
SRS020869	5.901394661000001
SRS021484	5.616323705000001
SRS021496	7.434249066
SRS021986	4.115138905000001
SRS022006	3.9131862650000007
SRS022093	6.573944293
SRS022129	5.711136773000001
SRS022609	7.636022884000001
SRS022621	6.288483613
SRS022625	6.104501117000001
SRS022645	4.718277491
SRS023176	4.375690963
SRS023212	5.084383474000001
SRS023557	5.70801021
SRS023617	7.524779796000001
SRS023914	4.873408861
SRS023926	6.931560207
SRS023930	5.159138703000001
SRS023938	6.520705359000001
SRS024265	4.856759344000001
SRS024277	5.755955006000001
SRS024281	4.240335034
SRS024289	6.622632484
SRS024301	4.590929597000001
SRS024310	2.1385275100000007
SRS024331	6.051165206000001
SRS024347	6.461875964000001
SRS024355	6.649157231
SRS024388	3.8810888180000007
SRS024424	4.275962004
SRS024470	6.513476248000001
SRS024482	4.817711207
SRS024580	5.573633293
SRS024596	2.7113509920000007
SRS024598	2.7065818460000006
SRS024625	4.836073703
SRS024637	6.343328847
SRS024649	7.194587552
SRS058182	2.9494958530000006
SRS058770	5.270975238000001
SRS057692	6.460490206
SRS047634	8.701605982
SRS045197	8.400846874
SRS051600	5.0875282550000005
SRS044742	4.135783494000001
SRS043411	6.956576161000001
SRS051031	6.372516525000001
SRS049164	6.866570414000002
SRS048870	5.691817038
SRS052697	6.467457762000001
SRS054590	3.5107201940000006
SRS043701	4.922274827000002
SRS043422	5.596101609
SRS047113	8.338106756
SRS062427	5.077010384
SRS062544	7.917876992
SRS063287	5.867560427
SRS064493	5.280569011000001
SRS064276	6.523239417000001
SRS063417	3.6704444560000002
SRS065179	4.380693506
SRS062540	6.354978527000001
SRS065310	6.485394762
SRS064557	5.384969443000002
SRS065278	6.593317201000001
SRS064809	5.434218748000001
SRS063603	8.837780997000001
SRS065347	2.1535068430000006
SRS063985	6.189307833000001
